matcher,replace,
matcher,from,to
[au].[level_1],ID201,Id
[au].[level_1],au_prefix_1,prefix1
[au].[level_1],au_levelPos1,positionLevel1
[au].[level_1],au_level_1,universeLevel1
[au].[level_1],flag,flag
[au].[level_1],fkey240,universeLibrariesId
[au].[level_1],au_type,universeType
[au].[level_1],active,active
[au].[level_1],no_risk,noRisk
[au].[level_1],blocked,blocked
[au].[level_1],auth,auth
[au].[level_1],approvalID,approvalId
[au].[level_1],approvalLock,approvalLock
[au].[level_2],ID202,Id
[au].[level_2],au_prefix_2,prefix2
[au].[level_2],au_levelPos2,positionLevel2
[au].[level_2],au_level_2,universeLevel2
[au].[level_2],fkey201,universeLevel1Id
[au].[level_2],active,active
[au].[level_2],blocked,blocked
[au].[level_2],auth,auth
[au].[level_2],approvalID,approvalId
[au].[level_2],approvalLock,approvalLock
[au].[level_2],def_days,daysControllingLevel2
[au].[level_2],def_short,controlTypeUniverseLevel2
[au].[level_2],def_budget,controlBudgetLevel2
[au].[level_3],ID203,Id
[au].[level_3],au_prefix_3,prefix3
[au].[level_3],au_levelPos3,positionLevel3
[au].[level_3],au_level_3,universeLevel3
[au].[level_3],fkey202,universeLevel2Id
[au].[level_3],active,active
[au].[level_3],blocked,blocked
[au].[level_3],auth,auth
[au].[level_3],approvalID,approvalId
[au].[level_3],approvalLock,approvalLock
[au].[level_4],ID204,Id
[au].[level_4],au_prefix_4,prefix4
[au].[level_4],au_levelPos4,positionLevel4
[au].[level_4],au_level_4,universeLevel4
[au].[level_4],fkey203,universeLevel3Id
[au].[level_4],active,active
[au].[level_4],blocked,blocked
[au].[level_4],auth,auth
[au].[level_4],approvalID,approvalId
[au].[level_4],approvalLock,approvalLock
